TIPO DE CURSO;EIXO TECNOLÓGICO;CURSO;FEC
Bacharelado;Desenvolvimento Educacional e Social;ESTATÍSTICA;1,000
Bacharelado;Desenvolvimento Educacional e Social;FILOSOFIA;1,000
Bacharelado;Desenvolvimento Educacional e Social;FÍSICA;1,034
Bacharelado;Desenvolvimento Educacional e Social;GEOGRAFIA;1,100
Bacharelado;Desenvolvimento Educacional e Social;HISTÓRIA;1,000
Bacharelado;Desenvolvimento Educacional e Social;LETRAS;1,000
Bacharelado;Desenvolvimento Educacional e Social;LETRAS - LÍNGUA ESTRANGEIRA;1,000
Bacharelado;Desenvolvimento Educacional e Social;LETRAS - LÍNGUA PORTUGUESA;1,000
Bacharelado;Desenvolvimento Educacional e Social;MATEMÁTICA;1,000
Bacharelado;Desenvolvimento Educacional e Social;MUSEOLOGIA;1,000
Bacharelado;Desenvolvimento Educacional e Social;MÚSICA;1,100
Bacharelado;Desenvolvimento Educacional e Social;RELAÇÕES PÚBLICAS;1,000
Bacharelado;Desenvolvimento Educacional e Social;SERVIÇO SOCIAL;1,500
Bacharelado;Desenvolvimento Educacional e Social;TEATRO;1,100
Bacharelado;Desenvolvimento Educacional e Social;TEOLOGIA;1,000
Bacharelado;Gestão e Negócios;ADMINISTRAÇÃO;1,001
Bacharelado;Gestão e Negócios;CIÊNCIAS ATUARIAIS;1,000
Bacharelado;Gestão e Negócios;CIÊNCIAS CONTÁBEIS;1,000
Bacharelado;Gestão e Negócios;CIÊNCIAS ECONÔMICAS;1,000
Bacharelado;Gestão e Negócios;DIREITO;1,187
Bacharelado;Gestão e Negócios;LÍNGUAS ESTRANGEIRAS APLICADAS A NEGOCIAÇÕES INTERNACIONAIS;1,111
Bacharelado;Gestão e Negócios;RELAÇÕES INTERNACIONAIS;1,000
Bacharelado;Gestão e Negócios;SECRETARIADO EXECUTIVO;1,000
Bacharelado;Informação e Comunicação;CIÊNCIA DA COMPUTAÇÃO;1,081
Bacharelado;Informação e Comunicação;ENGENHARIA DE COMPUTAÇÃO;1,237
Bacharelado;Informação e Comunicação;ENGENHARIA DE SOFTWARE;1,000
Bacharelado;Informação e Comunicação;ENGENHARIA DE TELECOMUNICAÇÕES;1,187
Bacharelado;Informação e Comunicação;INFORMÁTICA;1,100
Bacharelado;Informação e Comunicação;JORNALISMO;1,000
Bacharelado;Informação e Comunicação;RADIO, TV E INTERNET;1,100
Bacharelado;Informação e Comunicação;SISTEMAS DE INFORMAÇÃO;1,008
Bacharelado;Infraestrutura;ARQUITETURA E URBANISMO;1,071
Bacharelado;Infraestrutura;ENGENHARIA CIVIL;1,085
Bacharelado;Infraestrutura;ENGENHARIA DE AGRIMENSURA E CARTOGRÁFICA;1,117
Bacharelado;Infraestrutura;ENGENHARIA DE PRODUÇÃO CIVIL;1,085
Bacharelado;Infraestrutura;ENGENHARIA DE TRANSPORTES;1,211
Bacharelado;Produção Alimentícia;CIÊNCIA E TECNOLOGIA DE ALIMENTOS;1,076
Bacharelado;Produção Alimentícia;ENGENHARIA DE ALIMENTOS;1,013
Bacharelado;Produção Cultural e Design;CINEMA E AUDIOVISUAL;1,269
Bacharelado;Produção Cultural e Design;DESIGN;1,500
Bacharelado;Produção Cultural e Design;PRODUÇÃO CULTURAL;1,000
Bacharelado;Produção Cultural e Design;PUBLICIDADE E PROPAGANDA;1,100
Bacharelado;Produção Industrial;BIOTECNOLOGIA;1,000
Bacharelado;Produção Industrial;ENGENHARIA DE BIOPROCESSOS;1,230
Bacharelado;Produção Industrial;ENGENHARIA DE PETRÓLEO;1,230
Bacharelado;Produção Industrial;ENGENHARIA NAVAL;1,230
Bacharelado;Produção Industrial;ENGENHARIA QUÍMICA;1,111
Bacharelado;Produção Industrial;ENGENHARIA TÊXTIL;1,230
Bacharelado;Produção Industrial;QUÍMICA;1,318
Bacharelado;Recursos Naturais;AGROECOLOGIA;1,022
Bacharelado;Recursos Naturais;AGRONOMIA;1,061
Bacharelado;Recursos Naturais;CIÊNCIAS BIOLÓGICAS;1,026
Bacharelado;Recursos Naturais;ENGENHARIA AGRÍCOLA;1,000
Bacharelado;Recursos Naturais;ENGENHARIA AGRONÔMICA;1,052
Bacharelado;Recursos Naturais;ENGENHARIA DE AQUICULTURA;1,000
Bacharelado;Recursos Naturais;ENGENHARIA DE ENERGIAS RENOVÁVEIS;1,137
Bacharelado;Recursos Naturais;ENGENHARIA DE MINAS;1,137
Bacharelado;Recursos Naturais;ENGENHARIA DE PESCA;1,000
Bacharelado;Recursos Naturais;ENGENHARIA FLORESTAL;1,035
Bacharelado;Recursos Naturais;GEOLOGIA;1,037
Bacharelado;Recursos Naturais;MEDICINA VETERINÁRIA;1,037
Bacharelado;Recursos Naturais;ZOOTECNIA;1,045
Bacharelado;Turismo, Hospitalidade e Lazer;TURISMO;1,069
Aperfeiçoamento Tecnológico;TODOS;TODOS;1,000
Especialização (Lato Sensu/Profissional Tecnológica);TODOS;TODOS;1,000
Mestrado (Acadêmico/Profissional);TODOS;TODOS;1,000
Doutorado (Acadêmico/Profissional);TODOS;TODOS;1,000
