Ano;Instituição;Estrutura com Matrícula;Técnico;Formação de Professores;Proeja;RAP Presencial; Matrículas Equivalentes RAP Presencial;RAP; Matrículas Equivalentes RAP;Professor Equivalente
2025;IFES;Campus Cachoeiro de Itapemirim;60,4%;11,1%;0%;19,93;1674,35;20,29;1704,35;84
2024;IFES;Campus Cachoeiro de Itapemirim;56,0%;7,5%;0%;21,09;1708,53;23,83;1930,59;81
2023;IFES;Campus Cachoeiro de Itapemirim;38,9%;6,7%;0%;19,86;1648,38;31,01;2573,68;83
2022;IFES;Campus Cachoeiro de Itapemirim;32,1%;7,7%;0%;23,99;2014,79;24,76;2079,79;84
2021;IFES;Campus Cachoeiro de Itapemirim;42,0%;12,2%;0%;20,26;1681,51;20,92;1736,07;83
2020;IFES;Campus Cachoeiro de Itapemirim;53,8%;14,2%;0%;22,49;1843,94;22,96;1882,94;82
2019;IFES;Campus Cachoeiro de Itapemirim;55,0%;11,5%;0%;24,47;1957,98;24,97;1997,98;80
2018;IFES;Campus Cachoeiro de Itapemirim;55,6%;11,3%;0%;25,00;2074,78;25,00;2074,78;83
2017;IFES;Campus Cachoeiro de Itapemirim;60,5%;10,2%;0%;24,26;1989,54;24,26;1989,54;82
