Cod_Matricula;Descricao_Curso;Modalidade;Instituicao;Ultimo_Periodo_Letivo;Idade;Sexo;Situacao_Matricula;Forma_Ingresso;Semestre_Letivo_Inicial;Tempo;Cor;CR;Fez_Estágio
1337;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2013/2;22;M;Concluído;Ampla Concorrência;2009/2;4,5;PAR;;Sim
1338;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2010/1;20;M;Evadido;Ampla Concorrência;2009/2;1;PAR;;Não
1339;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2011/1;29;M;Concluído;Ampla Concorrência;2009/2;2;BRA;;Sim
1340;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2014/2;19;F;Evadido;Ampla Concorrência;2009/2;5,5;BRA;;Não
1341;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2014/2;34;M;Evadido;Ampla Concorrência;2009/2;5,5;PAR;;Não
1342;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2012/2;19;M;Evadido;Ampla Concorrência;2009/2;3,5;BRA;;Não
1419;Técnico em Informática;Concomitante;Campus Cachoeiro de Itapemirim;2011/2;18;M;Concluído;Ampla Concorrência;2009/2;2,5;BRA;;Não
1418;Técnico em Informática;Concomitante;Campus Cachoeiro de Itapemirim;2011/1;29;M;Evadido;Ampla Concorrência;2009/2;2;PAR;;Não
1420;Técnico em Informática;Concomitante;Campus Cachoeiro de Itapemirim;2012/1;19;M;Evadido;Ampla Concorrência;2009/2;3;NEG;;Não
5631;Técnico em Informática;Concomitante;Campus Cachoeiro de Itapemirim;2017/2;27;M;Evadido;Ampla Concorrência;2017/1;1;NEG;;Não
1421;Técnico em Informática;Concomitante;Campus Cachoeiro de Itapemirim;2010/2;19;M;Evadido;Ampla Concorrência;2009/2;1,5;BRA;;Não
1422;Técnico em Informática;Concomitante;Campus Cachoeiro de Itapemirim;2013/2;16;M;Evadido;Ampla Concorrência;2009/2;4,5;BRA;;Não
4251;Sistemas de Informação;Superior;Campus Cachoeiro de Itapemirim;2019/2;21;M;Evadido;Ampla Concorrência;2014/1;6;BRA;;Não
1415;Técnico em Informática;Concomitante;Campus Cachoeiro de Itapemirim;2011/2;16;F;Concluído;Ampla Concorrência;2009/2;2,5;BRA;;Sim
1423;Técnico em Informática;Concomitante;Campus Cachoeiro de Itapemirim;2011/1;21;M;Concluído;Ampla Concorrência;2009/2;2;BRA;;Não
8843;Mentoria para a Educação Profissional e Tecnológica;Pós-Graduação;Campus Cachoeiro de Itapemirim;2022/1;34;M;Concluído;Ampla Concorrência;2022/1;0,5;BRA;;Não
1424;Técnico em Informática;Concomitante;Campus Cachoeiro de Itapemirim;2011/1;46;M;Evadido;Ampla Concorrência;2009/2;2;BRA;;Não
1425;Técnico em Informática;Concomitante;Campus Cachoeiro de Itapemirim;2011/1;17;M;Concluído;Ampla Concorrência;2009/2;2;BRA;;Sim
1426;Técnico em Informática;Concomitante;Campus Cachoeiro de Itapemirim;2010/1;17;M;Evadido;Ampla Concorrência;2009/2;1;PAR;;Não
4022;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2014/2;26;F;Evadido;Ampla Concorrência;2014/1;1;BRA;;Não
1427;Técnico em Informática;Concomitante;Campus Cachoeiro de Itapemirim;2011/1;33;M;Evadido;Ampla Concorrência;2009/2;2;PAR;;Sim
1428;Técnico em Informática;Concomitante;Campus Cachoeiro de Itapemirim;2010/2;17;M;Evadido;Ampla Concorrência;2009/2;1,5;NEG;;Não
1429;Técnico em Informática;Concomitante;Campus Cachoeiro de Itapemirim;2012/1;17;F;Evadido;Ampla Concorrência;2009/2;3;PAR;;Não
1343;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2010/1;17;M;Evadido;Ampla Concorrência;2009/2;1;PAR;;Não
1344;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2012/1;18;M;Evadido;Ampla Concorrência;2009/2;3;BRA;;Não
1345;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2012/2;29;M;Concluído;Ampla Concorrência;2009/2;3,5;PAR;;Sim
1346;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2011/1;32;M;Concluído;Ampla Concorrência;2009/2;2;BRA;;Sim
1347;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2014/2;17;M;Evadido;Ampla Concorrência;2009/2;5,5;PAR;;Não
1348;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2012/1;18;M;Concluído;Ampla Concorrência;2009/2;3;BRA;;Sim
1349;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2011/1;19;M;Concluído;Ampla Concorrência;2009/2;2;BRA;;Sim
2996;Licenciatura em Matemática;Superior;Campus Cachoeiro de Itapemirim;2015/1;22;M;Evadido;Ampla Concorrência;2012/1;3,5;BRA;;Não
8490;Técnico em Informática;Concomitante;Campus Cachoeiro de Itapemirim;2022/2;31;M;Evadido;Ampla Concorrência;2021/2;1,5;BRA;;Não
4723;Engenharia Mecânica;Superior;Campus Cachoeiro de Itapemirim;2020/1;25;M;Concluído;Ampla Concorrência;2015/1;5,5;BRA;;Sim
1350;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2011/1;18;M;Concluído;Ampla Concorrência;2009/2;2;BRA;;Sim
1351;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2013/1;19;F;Evadido;Ampla Concorrência;2009/2;4;BRA;;Não
1352;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2010/1;18;M;Evadido;Ampla Concorrência;2009/2;1;NEG;;Não
6548;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2023/1;36;M;Evadido;Ampla Concorrência;2017/2;6;PAR;;Não
1353;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2011/1;29;F;Concluído;Ampla Concorrência;2009/2;2;BRA;;Sim
1354;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2011/1;24;M;Concluído;Ampla Concorrência;2009/2;2;PAR;;Sim
1355;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2010/2;33;M;Evadido;Ampla Concorrência;2009/2;1,5;PAR;;Não
1356;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2011/2;21;M;Evadido;Ampla Concorrência;2009/2;2,5;PAR;;Não
1357;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2011/1;52;M;Concluído;Ampla Concorrência;2009/2;2;BRA;;Sim
1358;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2011/1;18;M;Concluído;Ampla Concorrência;2009/2;2;BRA;;Sim
1359;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2012/2;23;M;Concluído;Ampla Concorrência;2009/2;3,5;NEG;;Sim
1360;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2011/1;33;M;Concluído;Ampla Concorrência;2009/2;2;PAR;;Sim
1361;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2011/1;31;M;Concluído;Ampla Concorrência;2009/2;2;PAR;;Sim
7929;Técnico em Informática;Concomitante;Campus Cachoeiro de Itapemirim;2024/2;43;M;Evadido;Ampla Concorrência;2020/1;5;NAO;;Não
3933;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2019/1;24;M;Evadido;Ampla Concorrência;2014/1;5,5;PAR;;Não
3899;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2014/2;30;M;Evadido;Ação Afirmativa;2014/1;1;PAR;;Não
6917;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2020/1;37;M;Evadido;Ampla Concorrência;2018/1;2,5;BRA;;Não
3005;Licenciatura em Matemática;Superior;Campus Cachoeiro de Itapemirim;2015/2;20;M;Concluído;Ampla Concorrência;2012/1;4;BRA;;Não
1362;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2011/1;17;M;Concluído;Ampla Concorrência;2009/2;2;BRA;;Sim
1439;Técnico em Mineração;Concomitante;Campus Cachoeiro de Itapemirim;2012/2;16;F;Evadido;Ampla Concorrência;2009/2;3,5;NEG;;Sim
1440;Técnico em Mineração;Concomitante;Campus Cachoeiro de Itapemirim;2013/1;17;F;Evadido;Ampla Concorrência;2009/2;4;BRA;;Não
1363;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2011/1;27;M;Concluído;Ampla Concorrência;2009/2;2;NEG;;Sim
6611;Sistemas de Informação;Superior;Campus Cachoeiro de Itapemirim;2019/1;35;M;Evadido;Outros;2017/2;2;NEG;;Não
1432;Técnico em Informática;Concomitante;Campus Cachoeiro de Itapemirim;2010/1;17;F;Evadido;Ampla Concorrência;2009/2;1;BRA;;Não
1441;Técnico em Mineração;Concomitante;Campus Cachoeiro de Itapemirim;2014/2;17;F;Evadido;Ampla Concorrência;2009/2;5,5;BRA;;Não
1442;Técnico em Mineração;Concomitante;Campus Cachoeiro de Itapemirim;2014/2;17;F;Evadido;Ampla Concorrência;2009/2;5,5;PAR;;Não
3090;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2014/1;31;M;Concluído;Ampla Concorrência;2012/2;2;BRA;;Sim
4994;Técnico em Informática;Concomitante;Campus Cachoeiro de Itapemirim;2017/1;24;M;Evadido;Ampla Concorrência;2015/2;2;BRA;;Não
6485;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2023/1;50;M;Concluído;Ampla Concorrência;2017/2;6;BRA;;Não
6250;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2022/1;40;M;Concluído;Ampla Concorrência;2017/2;5;PAR;;Não
11194;Introdução à Programação com HTML5, CSS e JavaScript;FIC;Campus Cachoeiro de Itapemirim;2022/2;51;M;Evadido;Ampla Concorrência;2022/2;0,5;BRA;;Não
9120;Mentoria para a Educação Profissional e Tecnológica;Pós-Graduação;Campus Cachoeiro de Itapemirim;2022/1;34;M;Evadido;Ampla Concorrência;2022/1;0,5;BRA;;Não
3397;Técnico em Informática;Concomitante;Campus Cachoeiro de Itapemirim;2014/2;22;M;Concluído;Ampla Concorrência;2013/1;2;BRA;;Não
5983;Educação Especial;Extensão;Campus Cachoeiro de Itapemirim;2017/2;43;F;Concluído;Outros;2017/2;0,5;NAO;;Não
1443;Técnico em Mineração;Concomitante;Campus Cachoeiro de Itapemirim;2011/1;16;F;Evadido;Ampla Concorrência;2009/2;2;PAR;;Não
6499;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2022/2;30;M;Concluído;Ampla Concorrência;2017/2;5,5;BRA;;Não
1445;Técnico em Mineração;Concomitante;Campus Cachoeiro de Itapemirim;2012/2;17;F;Evadido;Ampla Concorrência;2009/2;3,5;BRA;;Não
1446;Técnico em Mineração;Concomitante;Campus Cachoeiro de Itapemirim;2014/2;17;F;Evadido;Ampla Concorrência;2009/2;5,5;BRA;;Não
1447;Técnico em Mineração;Concomitante;Campus Cachoeiro de Itapemirim;2014/2;16;F;Evadido;Ampla Concorrência;2009/2;5,5;BRA;;Sim
1449;Técnico em Mineração;Concomitante;Campus Cachoeiro de Itapemirim;2010/1;17;F;Evadido;Ampla Concorrência;2009/2;1;PAR;;Não
1451;Técnico em Mineração;Concomitante;Campus Cachoeiro de Itapemirim;2011/2;16;F;Evadido;Ampla Concorrência;2009/2;2,5;IND;;Não
1444;Técnico em Mineração;Concomitante;Campus Cachoeiro de Itapemirim;2010/1;18;M;Evadido;Ampla Concorrência;2009/2;1;PAR;;Não
4495;Técnico em Informática;Concomitante;Campus Cachoeiro de Itapemirim;2015/1;23;M;Evadido;Ação Afirmativa;2014/2;1;PAR;;Não
1452;Técnico em Mineração;Concomitante;Campus Cachoeiro de Itapemirim;2011/1;18;F;Evadido;Ampla Concorrência;2009/2;2;PAR;;Não
1453;Técnico em Mineração;Concomitante;Campus Cachoeiro de Itapemirim;2011/2;17;F;Evadido;Ampla Concorrência;2009/2;2,5;BRA;;Não
1454;Técnico em Mineração;Concomitante;Campus Cachoeiro de Itapemirim;2012/1;16;F;Evadido;Ampla Concorrência;2009/2;3;NEG;;Não
1455;Técnico em Mineração;Concomitante;Campus Cachoeiro de Itapemirim;2011/1;16;M;Concluído;Ampla Concorrência;2009/2;2;BRA;;Sim
1456;Técnico em Mineração;Concomitante;Campus Cachoeiro de Itapemirim;2011/1;18;F;Evadido;Ampla Concorrência;2009/2;2;BRA;;Não
1457;Técnico em Mineração;Concomitante;Campus Cachoeiro de Itapemirim;2010/1;18;F;Evadido;Ampla Concorrência;2009/2;1;PAR;;Não
1458;Técnico em Mineração;Concomitante;Campus Cachoeiro de Itapemirim;2010/1;17;F;Evadido;Ampla Concorrência;2009/2;1;BRA;;Não
1459;Técnico em Mineração;Concomitante;Campus Cachoeiro de Itapemirim;2014/1;17;M;Concluído;Ampla Concorrência;2009/2;5;BRA;;Sim
1460;Técnico em Mineração;Concomitante;Campus Cachoeiro de Itapemirim;2014/2;16;F;Evadido;Ampla Concorrência;2009/2;5,5;PAR;;Não
1461;Técnico em Mineração;Concomitante;Campus Cachoeiro de Itapemirim;2010/2;16;M;Evadido;Ampla Concorrência;2009/2;1,5;NEG;;Não
7219;Tecnologias de Produção de Rochas Ornamentais;Pós-Graduação;Campus Cachoeiro de Itapemirim;2019/2;25;M;Concluído;Ampla Concorrência;2018/2;1,5;NEG;;Não
1912;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2018/1;17;M;Concluído;Ampla Concorrência;2010/2;8;NEG;;Sim
3012;Licenciatura em Matemática;Superior;Campus Cachoeiro de Itapemirim;2014/2;32;M;Evadido;Ampla Concorrência;2012/1;3;PAR;;Não
1364;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2010/2;18;M;Evadido;Ampla Concorrência;2009/2;1,5;BRA;;Não
1898;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2015/1;19;M;Concluído;Ampla Concorrência;2010/2;5;BRA;;Sim
1365;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2013/2;41;M;Evadido;Ampla Concorrência;2009/2;4,5;BRA;;Não
1366;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2011/1;21;M;Concluído;Ampla Concorrência;2009/2;2;PAR;;Sim
1367;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2014/1;20;M;Concluído;Ampla Concorrência;2009/2;5;BRA;;Sim
1373;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2011/1;19;M;Evadido;Ampla Concorrência;2009/2;2;NÃO;;Não
1368;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2011/2;30;M;Evadido;Ampla Concorrência;2009/2;2,5;AMA;;Não
3957;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2015/2;35;M;Evadido;Ampla Concorrência;2014/1;2;AMA;;Não
1374;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2016/1;18;F;Concluído;Ampla Concorrência;2009/2;7;BRA;;Sim
1375;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2011/1;19;M;Evadido;Ampla Concorrência;2009/2;2;BRA;;Não
1376;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2014/1;18;M;Concluído;Ampla Concorrência;2009/2;5;PAR;;Sim
1377;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2011/1;51;M;Evadido;Ampla Concorrência;2009/2;2;BRA;;Não
1378;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2016/1;17;M;Concluído;Ampla Concorrência;2009/2;7;BRA;;Sim
1379;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2014/2;18;M;Concluído;Ampla Concorrência;2009/2;5,5;BRA;;Sim
1380;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2014/1;18;M;Concluído;Ampla Concorrência;2009/2;5;BRA;;Sim
14760;Tecnologias de Produção de Rochas Ornamentais;Pós-Graduação;Campus Cachoeiro de Itapemirim;2024/2;33;M;Evadido;Ampla Concorrência;2024/1;1;BRA;;Não
2503;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2011/2;20;M;Evadido;Ampla Concorrência;2011/2;0,5;BRA;;Não
2444;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2018/1;19;F;Evadido;Ampla Concorrência;2011/2;7;PAR;;Não
8707;Mentoria para a Educação Profissional e Tecnológica;Pós-Graduação;Campus Cachoeiro de Itapemirim;2022/1;39;F;Evadido;Ampla Concorrência;2022/1;0,5;PAR;;Não
1381;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2012/1;22;M;Evadido;Ampla Concorrência;2009/2;3;BRA;;Não
1382;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2010/1;18;M;Evadido;Ampla Concorrência;2009/2;1;BRA;;Não
1383;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2011/2;18;M;Evadido;Ampla Concorrência;2009/2;2,5;PAR;;Não
8367;Tecnologias de Produção de Rochas Ornamentais;Pós-Graduação;Campus Cachoeiro de Itapemirim;2021/1;30;M;Evadido;Ampla Concorrência;2021/1;0,5;BRA;;Não
1384;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2015/1;18;M;Concluído;Ampla Concorrência;2009/2;6;BRA;;Sim
1386;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2014/1;18;F;Concluído;Ampla Concorrência;2009/2;5;BRA;;Sim
1387;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2010/1;28;M;Evadido;Ampla Concorrência;2009/2;1;BRA;;Não
1388;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2010/2;19;M;Evadido;Ampla Concorrência;2009/2;1,5;BRA;;Não
1389;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2009/2;17;M;Evadido;Ampla Concorrência;2009/2;0,5;BRA;;Não
1390;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2010/1;18;F;Evadido;Ampla Concorrência;2009/2;1;PAR;;Não
1371;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2012/2;18;M;Evadido;Ampla Concorrência;2009/2;3,5;NEG;;Não
1370;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2010/1;16;F;Evadido;Ampla Concorrência;2009/2;1;BRA;;Não
1369;Técnico em Eletromecânica;Concomitante;Campus Cachoeiro de Itapemirim;2010/1;39;M;Evadido;Ampla Concorrência;2009/2;1;NEG;;Não
7220;Tecnologias de Produção de Rochas Ornamentais;Pós-Graduação;Campus Cachoeiro de Itapemirim;2018/2;28;F;Evadido;Ação Afirmativa;2018/2;0,5;BRA;;Não
1393;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2015/1;19;F;Concluído;Ampla Concorrência;2009/2;6;BRA;;Sim
9667;Mentoria para a Educação Profissional e Tecnológica;Pós-Graduação;Campus Cachoeiro de Itapemirim;2022/1;38;F;Evadido;Ampla Concorrência;2022/1;0,5;BRA;;Não
6885;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2021/2;47;F;Evadido;Ampla Concorrência;2018/1;4;PAR;;Não
1372;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2015/2;19;M;Concluído;Ampla Concorrência;2009/2;6,5;BRA;;Sim
1450;Técnico em Mineração;Concomitante;Campus Cachoeiro de Itapemirim;2014/2;16;F;Evadido;Ampla Concorrência;2009/2;5,5;NEG;;Sim
5984;Educação Especial;Extensão;Campus Cachoeiro de Itapemirim;2018/1;24;F;Matriculado;Outros;2017/2;1;NEG;0;Não
1385;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2011/2;22;M;Evadido;Ampla Concorrência;2009/2;2,5;PAR;;Não
6335;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2018/1;32;M;Evadido;Ampla Concorrência;2017/2;1;PAR;;Não
1907;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2016/1;20;M;Concluído;Ampla Concorrência;2010/2;6;BRA;;Sim
2265;Técnico em Mineração;Concomitante;Campus Cachoeiro de Itapemirim;2013/2;20;M;Concluído;Outros;2011/1;3;BRA;;Sim
9934;Mentoria para a Educação Profissional e Tecnológica;Pós-Graduação;Campus Cachoeiro de Itapemirim;2022/1;40;M;Concluído;Ampla Concorrência;2022/1;0,5;BRA;;Não
6218;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2022/1;35;M;Concluído;Ampla Concorrência;2017/2;5;BRA;;Não
6277;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2022/1;34;F;Concluído;Ampla Concorrência;2017/2;5;BRA;;Não
6932;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2022/1;42;M;Concluído;Ampla Concorrência;2018/1;4,5;NEG;;Não
6473;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2023/1;39;M;Concluído;Ampla Concorrência;2017/2;6;PAR;;Não
3837;Engenharia Mecânica;Superior;Campus Cachoeiro de Itapemirim;2018/2;20;M;Evadido;Ação Afirmativa;2014/1;5;PAR;;Não
15383;Programação com JavaScript e Node.js;FIC;Campus Cachoeiro de Itapemirim;2024/1;33;M;Concluído;Ampla Concorrência;2024/1;0,5;PAR;;Não
3829;Engenharia Mecânica;Superior;Campus Cachoeiro de Itapemirim;2014/2;19;M;Evadido;Ampla Concorrência;2014/1;1;BRA;;Não
1889;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2011/1;18;M;Evadido;Ampla Concorrência;2010/2;1;BRA;;Não
1531;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;2011/1;15;M;Evadido;Ampla Concorrência;2010/1;1,5;BRA;;Não
9551;Mentoria para a Educação Profissional e Tecnológica;Pós-Graduação;Campus Cachoeiro de Itapemirim;2022/1;30;M;Concluído;Ampla Concorrência;2022/1;0,5;PAR;;Não
1532;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;2013/1;15;F;Concluído;Ampla Concorrência;2010/1;3,5;BRA;;Não
1533;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;2013/1;16;M;Concluído;Ampla Concorrência;2010/1;3,5;BRA;;Não
1534;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;2013/1;14;M;Concluído;Ampla Concorrência;2010/1;3,5;BRA;;Não
1535;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;2013/1;15;M;Evadido;Ampla Concorrência;2010/1;3,5;BRA;;Não
1536;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;2013/1;16;M;Concluído;Ampla Concorrência;2010/1;3,5;BRA;;Não
1537;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;2011/1;15;M;Evadido;Ampla Concorrência;2010/1;1,5;BRA;;Não
1538;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;2013/1;15;M;Concluído;Ampla Concorrência;2010/1;3,5;PAR;;Não
1539;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;2013/1;15;M;Concluído;Ampla Concorrência;2010/1;3,5;BRA;;Não
5044;Técnico em Mineração;Concomitante;Campus Cachoeiro de Itapemirim;2016/2;20;M;Evadido;Ampla Concorrência;2015/2;1,5;BRA;;Não
3557;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2018/2;18;M;Concluído;Ampla Concorrência;2013/2;5,5;BRA;;Sim
1561;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;2012/1;14;F;Evadido;Ampla Concorrência;2010/1;2,5;BRA;;Não
1541;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;2013/1;15;M;Concluído;Ampla Concorrência;2010/1;3,5;PAR;;Não
1542;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;2013/1;15;M;Concluído;Ampla Concorrência;2010/1;3,5;BRA;;Não
1543;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;2011/1;15;F;Evadido;Ampla Concorrência;2010/1;1,5;PAR;;Não
1544;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;2012/1;15;F;Evadido;Ampla Concorrência;2010/1;2,5;BRA;;Não
1545;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;2013/1;15;M;Concluído;Ampla Concorrência;2010/1;3,5;BRA;;Não
1546;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;2013/1;15;F;Concluído;Ampla Concorrência;2010/1;3,5;PAR;;Não
6440;Licenciatura em Informática;Superior;Campus Cachoeiro de Itapemirim;2025/2;22;M;Evadido;Ampla Concorrência;2017/2;8,5;NEG;;Não
7847;Engenharia de Minas;Superior;Campus Cachoeiro de Itapemirim;2022/1;27;M;Evadido;Outros;2020/1;2,5;PAR;;Não
1547;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;2014/1;14;M;Evadido;Ampla Concorrência;2010/1;4,5;BRA;;Não
1548;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;2013/1;16;M;Concluído;Ampla Concorrência;2010/1;3,5;PAR;;Não
1549;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;2013/1;15;M;Concluído;Ampla Concorrência;2010/1;3,5;BRA;;Não
4040;Licenciatura em Matemática;Superior;Campus Cachoeiro de Itapemirim;2018/1;19;M;Concluído;Ampla Concorrência;2014/1;4,5;BRA;;Não
1550;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;2014/1;15;F;Evadido;Ampla Concorrência;2010/1;4,5;BRA;;Não
1551;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;2013/1;15;F;Concluído;Ampla Concorrência;2010/1;3,5;PAR;;Não
1552;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;2013/1;15;F;Concluído;Ampla Concorrência;2010/1;3,5;BRA;;Não
1540;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;2013/1;15;M;Evadido;Ampla Concorrência;2010/1;3,5;BRA;;Não
1553;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;2011/1;15;M;Evadido;Ampla Concorrência;2010/1;1,5;BRA;;Não
1555;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;2013/1;14;M;Concluído;Ampla Concorrência;2010/1;3,5;BRA;;Não
1556;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;2012/1;15;M;Evadido;Ampla Concorrência;2010/1;2,5;BRA;;Não
1589;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;2013/1;15;M;Concluído;Ampla Concorrência;2010/1;3,5;BRA;;Sim
1590;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;2024/1;14;F;Concluído;Ampla Concorrência;2010/1;14,5;NEG;;Não
1562;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;2014/1;15;F;Concluído;Ampla Concorrência;2010/1;4,5;BRA;;Não
1564;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;2014/1;16;M;Evadido;Ampla Concorrência;2010/1;4,5;PAR;;Não
