Cod_Matricula;Situacao_Matricula;Forma_Ingresso;Semestre_Letivo_Inicial;Desc_Curso;Modalidade;Instituicao;Desc_Disciplina;Quantidade_Reprovacoes
8135;Concluído;Ampla Concorrência;2021/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Biologia;2
8135;Concluído;Ampla Concorrência;2021/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;História;1
8135;Concluído;Ampla Concorrência;2021/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Geografia;1
8135;Concluído;Ampla Concorrência;2021/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Filosofia / sociologia;1
8135;Concluído;Ampla Concorrência;2021/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Inglês;1
8135;Concluído;Ampla Concorrência;2021/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Segurança, meio ambiente e saúde;1
8135;Concluído;Ampla Concorrência;2021/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Informática;1
8135;Concluído;Ampla Concorrência;2021/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Desenho técnico;1
8135;Concluído;Ampla Concorrência;2021/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Metrologia;1
8135;Concluído;Ampla Concorrência;2021/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Biologia 2;2
9989;Concluído;Ampla Concorrência;2022/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Biologia;1
8207;Concluído;Ampla Concorrência;2021/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Biologia 2;2
8208;Concluído;Ampla Concorrência;2021/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Física 2;1
6728;Evadido;Ampla Concorrência;2018/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Matemática;1
6737;Concluído;Ampla Concorrência;2018/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Fundamentos matemáticos computacionais;1
6657;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Matemática;1
6657;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Língua portuguesa e literatura brasileira;1
6657;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Matemática;1
6657;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Física;1
6657;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Química;1
6657;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Biologia 2;1
6657;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;História;1
6657;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Geografia;1
6657;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Educação física;1
6657;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Filosofia / sociologia;1
6657;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Artes;1
6657;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Inglês;1
6657;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Eletricidade;1
6657;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Elementos de máquinas e resistência de materiais;1
6667;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Física;1
6667;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Matemática;1
6742;Concluído;Ampla Concorrência;2018/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Química 2;1
6666;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Elementos de máquinas e resistência de materiais;1
6653;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Biologia;1
6653;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Matemática;1
6653;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Eletricidade;1
6653;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Química;1
6653;Concluído;Ampla Concorrência;2018/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;História;1
6744;Concluído;Ampla Concorrência;2018/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Matemática;1
6744;Concluído;Ampla Concorrência;2018/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Física;1
6744;Concluído;Ampla Concorrência;2018/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Física 2;1
6744;Concluído;Ampla Concorrência;2018/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Química 2;2
6744;Concluído;Ampla Concorrência;2018/1;Técnico em Informática;Integrado;Campus Cachoeiro de Itapemirim;Programação II;1
7816;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Biologia;1
7816;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Filosofia / sociologia;1
7816;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Química;1
7816;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Biologia;1
7811;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Língua portuguesa e literatura brasileira;1
7811;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Matemática;1
7811;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Física;1
7811;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Química;1
7811;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Biologia;1
7811;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;História;1
7811;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Geografia;1
7811;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Filosofia / sociologia;1
7811;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Inglês;1
7811;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Segurança, meio ambiente e saúde;1
7811;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Informática;1
7811;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Desenho técnico;1
7811;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Metrologia;1
7823;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Língua portuguesa e literatura brasileira;1
7823;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Matemática;1
7823;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Física;1
7823;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Química;1
7823;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Biologia;3
7823;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;História;1
7823;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Geografia;1
7823;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Filosofia / sociologia;1
7823;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Inglês;1
7823;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Segurança, meio ambiente e saúde;1
7823;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Informática;1
7823;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Desenho técnico;1
7823;Concluído;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Metrologia;1
7807;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Metrologia;1
7808;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Língua portuguesa e literatura brasileira;1
7808;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Matemática;1
7808;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Física;2
7808;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Química;1
7808;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Biologia;1
7808;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;História;1
7808;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Geografia;1
7808;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Filosofia / sociologia;1
7808;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Inglês;1
7808;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Segurança, meio ambiente e saúde;1
7808;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Informática;1
7808;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Desenho técnico;1
7808;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Metrologia;1
7812;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Língua portuguesa e literatura brasileira;1
7812;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Matemática;1
7812;Evadido;Ampla Concorrência;2020/1;Técnico em Eletromecânica;Integrado;Campus Cachoeiro de Itapemirim;Física;1
